100 100
20 20 N
30 0 N
99 99 N
0 0 N
1 0 N
4 0 N
7 0 N
8 0 N
9 0 N
10 0 N
13 0 N
15 0 N
16 0 N
17 0 N
18 0 N
19 0 N
20 0 N
22 0 N
23 0 N
24 0 N
26 0 N
29 0 N
30 0 N
31 0 N
32 0 N
35 0 N
38 0 N
1 1 N
2 1 N
3 1 N
4 1 N
7 1 N
10 1 N
11 1 N
12 1 N
13 1 N
20 1 N
22 1 N
26 1 N
27 1 N
28 1 N
29 1 N
32 1 N
35 1 N
36 1 N
37 1 N
38 1 N
1 2 N
4 2 N
5 2 N
6 2 N
7 2 N
10 2 N
13 2 N
15 2 N
16 2 N
17 2 N
18 2 N
20 2 N
22 2 N
24 2 N
26 2 N
29 2 N
32 2 N
33 2 N
35 2 N
38 2 N
0 3 N
1 3 N
4 3 N
7 3 N
8 3 N
9 3 N
10 3 N
13 3 N
18 3 N
20 3 N
22 3 N
24 3 N
26 3 N
29 3 N
30 3 N
31 3 N
32 3 N
35 3 N
38 3 N
39 3 N
1 4 N
2 4 N
3 4 N
4 4 N
7 4 N
10 4 N
11 4 N
12 4 N
13 4 N
15 4 N
16 4 N
18 4 N
20 4 N
22 4 N
24 4 N
26 4 N
27 4 N
28 4 N
29 4 N
32 4 N
35 4 N
37 4 N
38 4 N
1 5 N
4 5 N
5 5 N
6 5 N
7 5 N
10 5 N
13 5 N
16 5 N
18 5 N
20 5 N
22 5 N
24 5 N
26 5 N
29 5 N
32 5 N
34 5 N
35 5 N
38 5 N
0 6 N
1 6 N
4 6 N
7 6 N
8 6 N
9 6 N
10 6 N
13 6 N
16 6 N
18 6 N
20 6 N
22 6 N
24 6 N
26 6 N
29 6 N
30 6 N
31 6 N
32 6 N
35 6 N
38 6 N
39 6 N
1 7 N
2 7 N
3 7 N
4 7 N
7 7 N
10 7 N
11 7 N
12 7 N
13 7 N
15 7 N
16 7 N
17 7 N
18 7 N
19 7 N
20 7 N
21 7 N
22 7 N
24 7 N
26 7 N
27 7 N
28 7 N
29 7 N
32 7 N
35 7 N
36 7 N
38 7 N
1 8 N
4 8 N
5 8 N
6 8 N
7 8 N
10 8 N
13 8 N
16 8 N
17 8 N
18 8 N
19 8 N
20 8 N
21 8 N
22 8 N
23 8 N
24 8 N
26 8 N
29 8 N
32 8 N
33 8 N
35 8 N
38 8 N
0 9 N
1 9 N
4 9 N
7 9 N
8 9 N
9 9 N
10 9 N
13 9 N
15 9 N
16 9 N
17 9 N
18 9 N
19 9 N
20 9 N
21 9 N
22 9 N
23 9 N
24 9 N
26 9 N
29 9 N
30 9 N
31 9 N
32 9 N
35 9 N
38 9 N
39 9 N
1 10 N
2 10 N
3 10 N
4 10 N
7 10 N
10 10 N
12 10 N
13 10 N
14 10 N
15 10 N
16 10 N
17 10 N
18 10 N
19 10 N
20 10 N
21 10 N
22 10 N
23 10 N
24 10 N
25 10 N
26 10 N
27 10 N
29 10 N
32 10 N
35 10 N
37 10 N
38 10 N
1 11 N
4 11 N
5 11 N
6 11 N
7 11 N
10 11 N
13 11 N
14 11 N
15 11 N
16 11 N
17 11 N
18 11 N
19 11 N
20 11 N
21 11 N
22 11 N
23 11 N
24 11 N
25 11 N
26 11 N
29 11 N
32 11 N
34 11 N
35 11 N
38 11 N
0 12 N
1 12 N
4 12 N
7 12 N
8 12 N
9 12 N
10 12 N
13 12 N
14 12 N
15 12 N
16 12 N
17 12 N
18 12 N
19 12 N
20 12 N
21 12 N
22 12 N
23 12 N
24 12 N
25 12 N
26 12 N
29 12 N
30 12 N
31 12 N
32 12 N
35 12 N
38 12 N
39 12 N
1 13 N
2 13 N
3 13 N
4 13 N
7 13 N
10 13 N
11 13 N
12 13 N
13 13 N
14 13 N
15 13 N
16 13 N
17 13 N
18 13 N
19 13 N
20 13 N
21 13 N
22 13 N
23 13 N
24 13 N
25 13 N
26 13 N
27 13 N
28 13 N
29 13 N
32 13 N
35 13 N
36 13 N
38 13 N
1 14 N
4 14 N
5 14 N
6 14 N
7 14 N
10 14 N
13 14 N
14 14 N
16 14 N
18 14 N
20 14 N
22 14 N
24 14 N
25 14 N
26 14 N
29 14 N
32 14 N
33 14 N
35 14 N
38 14 N
0 15 N
1 15 N
4 15 N
7 15 N
