40 40
1 1 N
38 38 N
1 2 N
1 3 N
1 4 N
1 5 N
1 6 N
1 7 N
1 8 N
1 9 N
1 10 N
1 11 N
1 12 N
1 13 N
1 14 N
1 15 N
1 16 N
1 17 N
1 18 N
1 19 N
1 20 N
1 22 N
1 23 N
1 24 N
1 25 N
1 26 N
1 27 N
1 28 N
1 29 N
1 30 N
1 31 N
1 32 N
1 33 N
1 34 N
1 35 N
1 36 N
1 37 N
1 38 N
2 1 N
2 3 N
2 5 N
2 7 N
2 13 N
2 16 N
2 20 N
2 22 N
2 31 N
2 33 N
2 35 N
2 37 N
3 1 N
3 2 N
3 3 N
3 4 N
3 5 N
3 6 N
3 7 N
3 9 N
3 10 N
3 11 N
3 13 N
3 15 N
3 16 N
3 17 N
3 18 N
3 20 N
3 22 N
3 24 N
3 25 N
3 26 N
3 27 N
3 28 N
3 29 N
3 31 N
3 32 N
3 33 N
3 34 N
3 35 N
3 36 N
3 37 N
3 38 N
4 1 N
4 3 N
4 5 N
4 9 N
4 13 N
4 15 N
4 16 N
4 18 N
4 19 N
4 20 N
4 22 N
4 24 N
4 29 N
4 31 N
4 33 N
4 35 N
4 37 N
5 1 N
5 2 N
5 3 N
5 4 N
5 5 N
5 6 N
5 7 N
5 8 N
5 9 N
5 10 N
5 11 N
5 13 N
5 18 N
5 20 N
5 22 N
5 24 N
5 26 N
5 27 N
5 29 N
5 31 N
5 32 N
5 33 N
5 34 N
5 35 N
5 36 N
5 37 N
5 38 N
6 1 N
6 3 N
6 7 N
6 9 N
6 13 N
6 14 N
6 15 N
6 16 N
6 17 N
6 18 N
6 20 N
6 21 N
6 22 N
6 24 N
6 25 N
6 26 N
6 27 N
6 29 N
6 31 N
6 33 N
6 35 N
6 37 N
7 1 N
7 2 N
7 3 N
7 4 N
7 5 N
7 6 N
7 9 N
7 10 N
7 11 N
7 13 N
7 15 N
7 17 N
7 20 N
7 22 N
7 24 N
7 25 N
7 29 N
7 31 N
7 32 N
7 33 N
7 34 N
7 35 N
7 36 N
7 37 N
7 38 N
8 1 N
8 5 N
8 6 N
8 7 N
8 9 N
8 11 N
8 13 N
8 15 N
8 17 N
8 18 N
8 19 N
8 20 N
8 22 N
8 24 N
8 26 N
8 27 N
8 28 N
8 29 N
8 31 N
8 33 N
8 35 N
8 37 N
9 1 N
9 2 N
9 3 N
9 4 N
9 6 N
9 7 N
9 8 N
9 13 N
9 15 N
9 18 N
9 22 N
9 26 N
9 31 N
9 32 N
9 33 N
9 34 N
9 35 N
9 36 N
9 37 N
9 38 N
10 2 N
10 4 N
10 6 N
10 7 N
10 8 N
10 9 N
10 10 N
10 11 N
10 12 N
10 13 N
10 15 N
10 16 N
10 17 N
10 18 N
10 19 N
10 20 N
10 21 N
10 22 N
10 23 N
10 24 N
10 25 N
10 26 N
10 27 N
10 28 N
10 29 N
10 30 N
10 31 N
10 33 N
10 35 N
10 37 N
11 1 N
11 2 N
11 4 N
11 5 N
11 6 N
11 7 N
11 8 N
11 9 N
11 11 N
11 13 N
11 15 N
11 17 N
11 19 N
11 21 N
11 23 N
11 25 N
11 27 N
11 29 N
11 31 N
11 32 N
11 33 N
11 34 N
11 35 N
11 36 N
11 37 N
11 38 N
12 2 N
12 4 N
12 6 N
12 7 N
12 8 N
12 9 N
12 18 N
13 1 N
13 2 N
13 3 N
13 4 N
13 5 N
13 9 N
13 10 N
13 11 N
13 12 N
13 13 N
13 14 N
13 15 N
13 17 N
13 18 N
13 20 N
13 21 N
13 22 N
13 23 N
13 24 N
13 25 N
13 26 N
13 27 N
13 28 N
13 29 N
13 30 N
13 31 N
13 33 N
13 34 N
13 35 N
13 37 N
13 38 N
14 1 N
14 3 N
14 5 N
14 7 N
14 12 N
14 15 N
14 16 N
14 17 N
14 18 N
14 20 N
14 22 N
14 24 N
14 30 N
14 35 N
14 38 N
15 1 N
15 2 N
15 3 N
15 5 N
15 7 N
15 8 N
15 9 N
15 10 N
15 11 N
15 12 N
15 13 N
15 15 N
15 20 N
