40 40
2 2 N
37 37 N
1 1 N
1 2 N
1 3 N
1 5 N
1 6 N
1 7 N
1 9 N
1 12 N
1 14 N
1 15 N
1 16 N
1 17 N
1 18 N
1 20 N
1 21 N
1 22 N
1 24 N
1 25 N
1 26 N
1 28 N
1 30 N
1 31 N
1 34 N
1 35 N
1 36 N
1 37 N
2 1 N
2 3 N
2 5 N
2 7 N
2 9 N
2 10 N
2 12 N
2 14 N
2 16 N
2 18 N
2 19 N
2 20 N
2 22 N
2 23 N
2 24 N
2 26 N
2 28 N
2 30 N
2 32 N
2 33 N
2 34 N
2 36 N
2 38 N
3 1 N
3 2 N
3 3 N
3 5 N
3 10 N
3 12 N
3 14 N
3 15 N
3 17 N
3 18 N
3 20 N
3 22 N
3 26 N
3 28 N
3 30 N
3 34 N
3 36 N
3 37 N
3 38 N
4 1 N
4 5 N
4 6 N
4 7 N
4 9 N
4 10 N
4 12 N
4 13 N
4 14 N
4 18 N
4 19 N
4 20 N
4 22 N
4 24 N
4 25 N
4 26 N
4 28 N
4 29 N
4 30 N
4 31 N
4 32 N
4 34 N
4 36 N
4 38 N
5 1 N
5 2 N
5 4 N
5 7 N
5 8 N
5 9 N
5 10 N
5 12 N
5 14 N
5 15 N
5 17 N
5 18 N
5 20 N
5 22 N
5 24 N
5 26 N
5 28 N
5 32 N
5 33 N
5 34 N
5 38 N
6 2 N
6 4 N
6 5 N
6 6 N
6 7 N
6 10 N
6 12 N
6 14 N
6 16 N
6 18 N
6 19 N
6 20 N
6 22 N
6 26 N
6 28 N
6 30 N
6 31 N
6 32 N
6 34 N
6 36 N
6 38 N
7 2 N
7 5 N
7 9 N
7 10 N
7 12 N
7 14 N
7 15 N
7 16 N
7 17 N
7 18 N
7 20 N
7 21 N
7 22 N
7 24 N
7 26 N
7 28 N
7 30 N
7 36 N
7 37 N
7 38 N
8 2 N
8 4 N
8 5 N
8 7 N
8 8 N
8 9 N
8 12 N
8 15 N
8 21 N
8 24 N
8 25 N
8 26 N
8 28 N
8 30 N
8 32 N
8 33 N
8 34 N
8 35 N
8 36 N
8 38 N
9 2 N
9 5 N
9 7 N
9 9 N
9 10 N
9 12 N
9 13 N
9 14 N
9 15 N
9 16 N
9 17 N
9 18 N
9 19 N
9 20 N
9 21 N
9 26 N
9 28 N
9 30 N
9 32 N
9 37 N
9 38 N
10 2 N
10 7 N
10 9 N
10 12 N
10 17 N
10 22 N
10 23 N
10 24 N
10 26 N
10 28 N
10 30 N
10 31 N
10 33 N
10 34 N
10 35 N
10 36 N
10 37 N
11 1 N
11 2 N
11 3 N
11 4 N
11 5 N
11 6 N
11 7 N
11 9 N
11 10 N
11 12 N
11 14 N
11 15 N
11 17 N
11 19 N
11 20 N
11 22 N
11 24 N
11 26 N
11 28 N
11 29 N
11 31 N
11 33 N
11 36 N
12 1 N
12 6 N
12 8 N
12 9 N
12 12 N
12 14 N
12 17 N
12 20 N
12 22 N
12 24 N
12 26 N
12 29 N
12 30 N
12 31 N
12 33 N
12 34 N
12 36 N
12 37 N
12 38 N
13 1 N
13 2 N
13 3 N
13 4 N
13 5 N
13 6 N
13 8 N
13 10 N
13 12 N
13 14 N
13 17 N
13 20 N
13 22 N
13 24 N
13 26 N
13 28 N
13 29 N
13 32 N
13 33 N
13 38 N
14 2 N
14 4 N
14 6 N
14 8 N
14 10 N
14 12 N
14 14 N
14 15 N
14 17 N
14 19 N
14 20 N
14 22 N
14 24 N
14 26 N
14 28 N
14 32 N
14 34 N
14 36 N
14 37 N
14 38 N
15 1 N
15 2 N
15 3 N
15 4 N
15 5 N
15 6 N
15 8 N
15 9 N
15 10 N
15 12 N
15 14 N
15 17 N
15 20 N
15 22 N
15 24 N
15 25 N
15 26 N
15 28 N
15 30 N
15 32 N
15 33 N
15 34 N
15 36 N
15 38 N
16 2 N
16 4 N
16 6 N
16 12 N
16 14 N
16 15 N
16 16 N
16 17 N
16 18 N
16 19 N
16 20 N
16 21 N
16 22 N
16 28 N
16 29 N
16 30 N
16 32 N
16 34 N
16 36 N
16 37 N
16 38 N
17 1 N
17 2 N
17 3 N
17 4 N
17 5 N
17 6 N
17 7 N
17 9 N
17 10 N
17 11 N
17 12 N
17 22 N
17 23 N
17 24 N
17 25 N
17 26 N
17 28 N
17 30 N
17 32 N
17 33 N
17 34 N
17 38 N
18 1 N
18 8 N
18 9 N
18 12 N
18 13 N
18 14 N
18 15 N
18 16 N
18 17 N
18 18 N
18 20 N
18 26 N
